R,RDes,P,PDes,Y,YDes,FaultIn
-0.5902681,-5.942379,0.4537221,-1.779238,-0.396122,0.003853203,0
0.1741844,-5.978283,0.2257545,-1.800884,-0.452138,0.01449752,0
-0.6951883,-6.439519,-0.1964894,-1.74513,-0.2122215,-0.003440604,0
0.9686904,-6.016032,-0.8034241,-1.750084,0.9564601,-0.009664336,0
-0.1080075,-5.991167,0.9222812,-1.859176,0.3253645,0.01336514,0
0.6501545,-6.018425,-0.0350084,-1.726556,-0.4191535,0.01683054,0
-0.1265062,-5.980198,0.3367431,-1.809509,-0.9582666,0.01388988,0
0.6508847,-5.999979,-1.025795,-1.733358,0.8845273,-0.007875787,0
0.3385091,-6.050605,0.665382,-1.74346,0.2662683,-0.008349339,0
0.9692954,-6.04758,0.08605611,-1.769753,0.3221758,0.007445508,0
-0.04554942,-5.968955,1.065386,-1.842749,-0.6721836,0.001254644,0
0.265657,-5.979136,0.2767456,-1.816262,-1.124975,0.01551991,0
-1.165775,-5.920953,-1.659428,-1.630783,0.8717343,-0.03097853,0
0.3989136,-6.037167,1.940367,-1.903639,0.181083,0.007035326,0
0.4268485,-5.98079,0.6475484,-1.872424,0.7504358,-0.01521859,0
-0.5576862,-5.928016,0.2585147,-1.767731,-2.13821,0.01984253,0
0.4853481,-5.992368,-1.18321,-1.721593,-0.2009352,0.02321235,0
-0.2368894,-5.984694,0.5235208,-1.76211,-0.5157267,-0.01006625,0
1.506512,-6.13354,0.448842,-1.839311,0.9614918,-0.005158916,0
-1.005584,-5.999985,-0.8508265,-1.820496,1.01474,-0.02174457,0
0.2540172,-6.03189,1.288743,-1.815003,-1.212645,0.02417504,0
0.8930604,-6.039578,-0.505364,-1.759855,0.4054829,-0.007918552,0
-0.5956077,-5.907502,0.5640179,-1.720022,-0.8808196,0.009006807,0
0.4830904,-5.988409,-0.6727026,-1.689857,0.1758301,0.008698548,0
-1.871948,-5.849789,0.4821628,-1.788656,0.1199689,-0.00163262,0
0.7993421,-6.174324,0.1775278,-1.761546,-0.655491,0.01500287,0
-0.1158148,-5.935827,-1.015133,-1.686801,0.7378696,-0.01213198,0
-0.5202982,-6.000436,0.8599191,-1.801804,-1.305747,0.01881197,0
1.234367,-6.037324,0.1466237,-1.81049,0.6714033,-0.00328617,0
-1.499257,-5.943174,-0.3794799,-1.759465,0.6130491,-0.007151505,0
0.3752626,-6.046138,0.4302363,-1.783136,-0.3623649,0.01749649,0
0.5163941,-6.045935,-0.1770423,-1.744398,-0.09041701,0.0005040847,0
-0.4603298,-6.024031,0.4787378,-1.796284,-0.883877,0.01033182,0
0.1228231,-5.928685,-1.081758,-1.678867,0.4314175,-0.00178238,0
-0.06386202,-6.027574,0.5761226,-1.793892,0.8766555,-0.01385298,0
0.7857329,-6.611505,0.9677622,-1.820124,-0.2612371,0.01334591,0
